id,neighborhood_name,pop_estimate
1,Allegheny Center,1411
2,Allegheny West,343
3,Allentown,2558
4,Arlington,1852
5,Arlington Heights,272
6,Banksville,3858
7,Bedford Dwellings,1349
8,Beechview,8078
9,Beltzhoover,1702
10,Bloomfield,8669
11,Bluff,6294
12,Bon Air,920
13,Brighton Heights,7421
14,Brookline,13160
15,California-Kirkbride,803
16,Carrick,10122
17,Central Business District,4060
18,Central Lawrenceville,4775
19,Central Northside,2892
20,Central Oakland,5822
21,Chartiers City,560
22,Chateau,3
23,Crafton Heights,3964
24,Crawford-Roberts,2225
25,Duquesne Heights,2522
26,East Allegheny,2095
27,East Carnegie,610
28,East Hills,2859
29,East Liberty,5537
30,Elliott,2491
31,Esplen,309
32,Fairywood,1181
33,Fineview,1270
34,Friendship,1840
35,Garfield,3966
36,Glen Hazel,716
37,Greenfield,7690
38,Hays,405
39,Hazelwood,4257
40,Highland Park,6810
41,Homewood North,3371
42,Homewood South,2276
43,Homewood West,850
44,Knoxville,4255
45,Larimer,1641
46,Lincoln Place,3499
47,Lincoln-Lemington-Belmar,4955
48,Lower Lawrenceville,2572
49,Manchester,1944
50,Marshall-Shadeland,6195
51,Middle Hill,1760
52,Morningside,3262
53,Mount Oliver Borough,3399
54,Mount Washington,8743
55,Mt. Oliver,598
56,New Homestead,973
57,North Oakland,9602
58,North Shore,205
59,Northview Heights,1545
60,Oakwood,1058
61,Overbrook,3682
62,Perry North,3771
63,Perry South,3398
64,Point Breeze,5414
65,Point Breeze North,1732
66,Polish Hill,1331
67,Regent Square,1033
68,Ridgemont,314
69,Shadyside,13562
70,Sheraden,5684
71,South Oakland,2921
72,South Shore,12
73,South Side Flats,6292
74,South Side Slopes,4583
75,Spring Garden,840
76,Spring Hill-City View,2456
77,Squirrel Hill North,11336
78,Squirrel Hill South,16042
79,St. Clair,270
80,Stanton Heights,4761
81,Strip District,747
82,Summer Hill,1191
83,Swisshelm Park,1345
84,Terrace Village,2292
85,Troy Hill,2283
86,Upper Hill,1884
87,Upper Lawrenceville,2754
88,West End,235
89,West Oakland,1717
90,Westwood,3537
91,Windgap,1534
